# Those three for manually verifying the correctness of python program
# 30 accesses, 10 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_0, c_1, c_2, c_3, c_16, c_4, c_6, c_7, c_8, c_9, c_4, c_17, c_5
# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_16, c_0, c_0, c_17, c_8, c_17, c_9
# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_0, c_0, c_1, c_2, c_3, c_4, c_5, c_17, c_6, c_6, c_18, c_7, c_8

# After the manual verification, comparing results generated from gem5 and ones from python program
# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_10, c_12, c_14, c_16, c_17, c_10, c_6, c_18, c_19, c_9, c_16, c_20, c_21

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_2, c_16, c_0, c_6, c_17, c_18, c_10, c_5, c_14, c_13, c_19, c_9, c_20, c_14

# 30 accesses, 6 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_2, c_14, c_16, c_17, c_10, c_18, c_19, c_20, c_18, c_1, c_14, c_16, c_5, c_21

# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_3, c_17, c_6, c_17, c_18, c_16, c_13, c_13, c_19, c_20, c_21, c_22, c_23

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_8, c_0, c_4, c_3, c_10, c_16, c_2, c_17, c_0, c_6, c_18, c_19, c_20, c_6

# 30 accesses, 10 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_14, c_7, c_12, c_14, c_16, c_15, c_6, c_1, c_3, c_6, c_17, c_12, c_18, c_19

# 30 accesses, 11 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_10, c_15, c_9, c_0, c_1, c_16, c_17, c_18, c_14, c_13, c_10, c_18, c_6, c_9

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_15, c_11, c_3, c_16, c_17, c_18, c_19, c_14, c_9, c_12, c_1, c_20, c_12, c_2

# 30 accesses, 6 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_10, c_10, c_17, c_2, c_10, c_5, c_18, c_19, c_20, c_21, c_22, c_15, c_0

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_6, c_2, c_16, c_17, c_12, c_12, c_12, c_3, c_18, c_4, c_17, c_13, c_10, c_19
