# Those three for manually verifying the correctness of python program
# 30 accesses, 3 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_16, c_0, c_15, c_16, c_15, c_16, c_15, c_16, c_15, c_16, c_15, c_16, c_14
# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_16, c_0, c_15, c_16, c_15, c_15, c_16, c_16, c_14, c_14, c_17, c_13, c_12
# 30 accesses, 4 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_14, c_17, c_18, c_13, c_13, c_19, c_12, c_19, c_19, c_20, c_11, c_12


# After the manual verification, comparing results generated from gem5 and ones from python program
# 30 accesses, 10 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_9, c_9, c_4, c_12, c_6, c_0, c_16, c_17, c_10, c_17, c_18, c_17, c_2, c_19

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_9, c_7, c_6, c_16, c_17, c_18, c_11, c_12, c_2, c_15, c_8, c_18, c_9, c_7

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_8, c_10, c_11, c_13, c_0, c_2, c_9, c_16, c_17, c_18, c_8, c_17, c_19

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_5, c_8, c_11, c_1, c_12, c_17, c_12, c_18, c_7, c_10, c_19, c_20, c_21

# 30 accesses, 1 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_18, c_11, c_19, c_20, c_15, c_21, c_22, c_23, c_19, c_24, c_23, c_25

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_6, c_7, c_16, c_6, c_6, c_11, c_6, c_0, c_3, c_15, c_17, c_18, c_6, c_17

# 30 accesses, 6 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_7, c_16, c_0, c_0, c_17, c_16, c_18, c_19, c_9, c_16, c_14, c_20, c_2, c_18

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_11, c_16, c_2, c_0, c_17, c_18, c_19, c_20, c_1, c_10, c_11, c_6, c_1, c_21

# 30 accesses, 7 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_7, c_15, c_16, c_17, c_18, c_11, c_4, c_19, c_8, c_7, c_16, c_12, c_3

# 30 accesses, 11 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_5, c_9, c_17, c_10, c_8, c_2, c_2, c_3, c_18, c_12, c_14, c_0, c_10
