# Those three for manually verifying the correctness of python program
# 30 accesses, 3 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_0, c_1, c_2, c_3, c_4, c_6, c_5, c_7, c_10, c_11, c_8, c_9, c_12
# 30 accesses, 12 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_16, c_11
# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_2, c_3, c_4, c_5, c_6, c_16, c_0, c_1, c_7, c_8, c_9, c_10, c_11, c_12


# After the manual verification, comparing results generated from gem5 and ones from python program
# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_18, c_19, c_8, c_20, c_6, c_8, c_21, c_22, c_20, c_23, c_14, c_4

# 30 accesses, 7 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_13, c_2, c_15, c_16, c_3, c_11, c_17, c_18, c_19, c_5, c_20, c_3, c_2, c_21

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_15, c_10, c_17, c_6, c_18, c_19, c_12, c_10, c_7, c_19, c_20, c_19, c_21

# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_18, c_18, c_12, c_2, c_1, c_17, c_19, c_12, c_20, c_3, c_15, c_4

# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_10, c_10, c_17, c_4, c_18, c_1, c_19, c_19, c_5, c_20, c_21, c_9, c_22

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_5, c_8, c_16, c_15, c_13, c_17, c_3, c_18, c_0, c_12, c_14, c_19, c_20, c_8

# 30 accesses, 11 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_4, c_13, c_10, c_14, c_10, c_1, c_5, c_16, c_17, c_18, c_12, c_1, c_14, c_17

# 30 accesses, 4 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_14, c_18, c_18, c_19, c_0, c_4, c_13, c_11, c_3, c_20, c_21, c_8

# 30 accesses, 11 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_10, c_4, c_16, c_17, c_15, c_10, c_9, c_16, c_15, c_6, c_6, c_4, c_10, c_18

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_7, c_9, c_11, c_2, c_16, c_17, c_8, c_18, c_19, c_1, c_7, c_10, c_13, c_19
