# Those three for manually verifying the correctness of python program
# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_16, c_2, c_4, c_17, c_5, c_8, c_18, c_19, c_0, c_3, c_4, c_6, c_16
# 30 accesses, 12 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_16, c_0, c_10
# 30 accesses, 6 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_1, c_2, c_3, c_17, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_14, c_15


# After the manual verification, comparing results generated from gem5 and ones from python program
# 30 accesses, 10 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_9, c_1, c_9, c_3, c_16, c_5, c_11, c_3, c_12, c_17, c_18, c_0, c_13, c_12

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_6, c_5, c_4, c_5, c_16, c_12, c_17, c_16, c_18, c_3, c_19, c_16, c_2, c_20

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_2, c_16, c_3, c_4, c_12, c_17, c_8, c_9, c_15, c_10, c_18, c_19, c_10, c_5

# 30 accesses, 8 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_3, c_0, c_17, c_18, c_19, c_15, c_7, c_13, c_20, c_16, c_17, c_20, c_10

# 30 accesses, 7 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_12, c_2, c_0, c_7, c_16, c_17, c_18, c_19, c_5, c_11, c_20, c_14, c_21, c_11

# 30 accesses, 5 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_0, c_16, c_1, c_17, c_18, c_1, c_4, c_3, c_1, c_0, c_19, c_20, c_20, c_6

# 30 accesses, 7 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_7, c_9, c_15, c_17, c_18, c_2, c_10, c_19, c_20, c_5, c_7, c_5, c_15

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_17, c_8, c_18, c_12, c_7, c_6, c_13, c_18, c_19, c_12, c_0, c_10, c_8

# 30 accesses, 9 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_13, c_11, c_6, c_15, c_16, c_17, c_3, c_16, c_5, c_18, c_17, c_19, c_20

# 30 accesses, 6 hits
c_0, c_1, c_2, c_3, c_4, c_5, c_6, c_7, c_8, c_9, c_10, c_11, c_12, c_13, c_14, c_15, c_16, c_0, c_17, c_13, c_0, c_18, c_2, c_11, c_14, c_0, c_19, c_10, c_20, c_21
